Player,Round,DraftNumber,PreTeam,urlsummary,PreType,GP,GS,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,TOV,PF,Position,Year
Sam Merrill,2,60,Utah State,https://basketball.realgm.com/player/Sam-Merrill/Summary/109478,College,32.0,32.0,35.0,19.66,6.09,13.22,0.461,2.78,6.78,0.41,4.69,5.25,0.893,0.22,3.91,4.12,3.91,0.88,0.09,1.56,2.28,G,2020
Cade Cunningham,1,1,Oklahoma State,https://basketball.realgm.com/player/Cade-Cunningham/Summary/124839,College,27.0,26.0,35.4,20.15,6.48,14.81,0.438,2.3,5.74,0.4,4.89,5.78,0.846,0.7,5.48,6.19,3.48,1.59,0.78,4.04,2.48,SF,2021
Jalen Green,1,2,NBA G League Ignite,https://basketball.realgm.com/player/Jalen-Green/Summary/117342,G League,15.0,15.0,32.0,17.93,6.27,13.6,0.461,2.07,5.67,0.365,1.93,2.33,0.8290000000000001,0.53,3.53,4.07,2.8,1.53,0.27,2.67,1.73,SG,2021
Evan Mobley,1,3,USC,https://basketball.realgm.com/player/Evan-Mobley/Summary/117327,College,33.0,33.0,33.8,16.36,5.97,10.33,0.578,0.36,1.21,0.3,4.06,5.85,0.6940000000000001,2.73,5.94,8.67,2.39,0.79,2.88,2.24,1.76,PF,2021
Scottie Barnes,1,4,Florida State,https://basketball.realgm.com/player/Scottie-Barnes/Summary/119506,College,24.0,7.0,24.7,10.33,4.08,8.12,0.503,0.46,1.67,0.275,1.71,2.75,0.621,1.46,2.54,4.0,4.08,1.46,0.46,2.46,2.17,SF,2021
Jalen Suggs,1,5,Gonzaga,https://basketball.realgm.com/player/Jalen-Suggs/Summary/117344,College,30.0,30.0,28.9,14.37,5.17,10.27,0.503,1.17,3.47,0.337,2.87,3.77,0.7609999999999999,0.6,4.73,5.33,4.53,1.9,0.33,2.93,2.6,SG,2021
Josh Giddey,1,6,Adelaide (Australia),https://basketball.realgm.com/player/Josh-Giddey/Summary/150528,Overseas,28.0,26.0,32.1,10.79,4.04,9.5,0.425,1.04,3.54,0.293,1.68,2.43,0.691,1.11,6.29,7.39,7.39,1.11,0.46,3.29,1.54,G,2021
Jonathan Kuminga,1,7,NBA G League Ignite,https://basketball.realgm.com/player/Jonathan-Kuminga/Summary/127826,G League,13.0,13.0,32.8,15.85,5.54,14.31,0.387,1.23,5.0,0.246,2.31,3.69,0.625,1.15,6.0,7.15,2.69,1.0,0.85,2.62,2.08,F,2021
Franz Wagner,1,8,Michigan,https://basketball.realgm.com/player/Franz-Wagner/Summary/108861,College,28.0,26.0,31.8,12.46,4.43,9.29,0.477,1.25,3.64,0.343,2.36,2.82,0.835,0.71,5.82,6.54,3.0,1.25,1.04,1.29,2.21,SF,2021
Davion Mitchell,1,9,Baylor,https://basketball.realgm.com/player/Davion-Mitchell/Summary/89964,College,30.0,30.0,32.4,14.0,5.27,10.3,0.511,2.1,4.7,0.447,1.37,2.13,0.6409999999999999,0.47,2.2,2.67,5.5,1.9,0.37,2.43,2.37,PG,2021
Ziaire Williams,1,10,Stanford,https://basketball.realgm.com/player/Ziaire-Williams/Summary/137400,College,20.0,14.0,27.8,10.7,3.8,10.15,0.374,1.15,3.95,0.29100000000000004,1.95,2.45,0.7959999999999999,0.5,4.05,4.55,2.2,0.85,0.55,2.9,2.4,F,2021
James Bouknight,1,11,Connecticut,https://basketball.realgm.com/player/James-Bouknight/Summary/128317,College,15.0,14.0,31.6,18.73,6.53,14.6,0.447,1.47,5.0,0.293,4.2,5.4,0.778,1.53,4.13,5.67,1.8,1.13,0.27,2.8,1.87,G,2021
Joshua Primo,1,12,Alabama,https://basketball.realgm.com/player/Joshua-Primo/Summary/134341,College,30.0,19.0,22.4,8.13,2.8,6.5,0.431,1.43,3.77,0.381,1.1,1.47,0.75,1.03,2.33,3.37,0.83,0.57,0.3,1.37,1.67,G,2021
Chris Duarte,1,13,Oregon,https://basketball.realgm.com/player/Chris-Duarte/Summary/105378,College,26.0,26.0,34.0,17.12,6.15,11.58,0.532,2.35,5.54,0.424,2.46,3.04,0.81,0.73,3.88,4.62,2.65,1.88,0.81,2.27,1.38,PG,2021
